Slur,Represents,Origin,
Blackhead,Turkish,Turkish workers in Europe are degraded because of their darker hair color than German races.
Blackie,Blacks,Self-explanatory.
Blackout,Native Americans,A stereo type of American Indians referencing their prevalence to excessive alcohol consumption.
Blackrobe,Whites,White Missionaries. Native American term.
Blacky Chan,Blacks,Blacks who practice martial arts
Blanco,Whites,Blanco' is Spanish for white or blank.
Blanket-Ass,Native Americans,From when the US Government gave tribes blankets.. I guess to make up for killing so many of them. The blankets were also rumored to be infested with smallpox.
Blaxican,Mixed Races,"Black/Mexican mix. Pioneered by the Black/Mexican hip-hop group ""Delinquent Habits""."
Bleach Boy,Whites,Because bleach whitens things
Bleck,Blacks,"Sounds like the word ""black"" said with a South African accent. 
http://imdb.com/title/tt0097733/"
Block Hoppers,Puerto Ricans,Because so many Puerto Ricans live in Apartment Block to Apartment Block
Blockbuster,Blacks,"A real estate agent who sells a home in an upper-class white neighborhood to a black family, thus lowering the values of other homes in the neighborhood. (This can be stretched to include inviting a black or minority friend over for dinner.)"
Blockhead,Germans,"Refers to the shape of their heads. Term dates back to the beginning of time. Used a lot by Charles M. Schulz in ""The Peanuts"" comics & cartoons."
Blockhead,Macedonians,Shape of their heads; Australian.
Bloke,British,Used by french canadians to identify english speaking people
Blood,Blacks,LA-based gang. Can be used offensively towards non-gang members.
Blood Sucker,Romanians,Dracula was a Romanian
Blow,Blacks,Originated from blacks originally living in Africa and using blow guns.
Blowfish,Whites,"From the pop band Hootie and the Blowfish. The lead singer was black (Hootie), the band was white (The Blowfish)."
BLT,Blacks,"""Big-Lipped Tyrone,"" or for female version ""Big-Lipped Tyreesha."" Inspired from the 80's version of Degrassi Jr. High where the black guy wore a shirt with the phrase ""BLT,"" his initials."
Bludger,Australian Aboriginals,"A bludger, or more accurately ""dole-bludger"", in Australian slang is someone who doesnt work and relies on the government for money (doles). It is the sterotype that all the Mediterraneans and Aborigianals of Australia are bludgers."
Blue collar,Mexicans,Many illegal immigrants take manual labor jobs.
Blue Gums,Blacks,"Old myth that if one were bitten by a nigger with blue gums, they would die."
Blue-Eyed Devil,Whites,"Whites primarily with blue eyes are said to be the most evil. Especially since their skin is so pale, it looks scary to others as their blue eyes stare out at them."
Blue/Blew,Mixed Races,Black/Jewish Mix.
Blushing,Black Russians,Black Russian / Blussian / Blushing
BMO,Arabs,Muslim Women. Stands for Black Moving Objects - refers to the complete head-to-toe black dress of Muslim women.
BMW,Blacks,"""Black Mans Wish,"" referring to BMW automobiles. 
Also: ""Black Man, Working."" Used by young Black women seeking a partner who is steadily employed. That such a code term was coined shows that a ""BMW"" must be something of a rarity."
BMW,Mexicans,"""Big Mexican Woman (or Women)"" - applied to heavy or obese Hispanic women."
Bo-Bo,Blacks,Sounds like a monkeys name or implies stupidty.
Boat Rower,Cubans,Many people from Cuba attempt to sneak into the United States via rafts and boats.
Bobblehead,Blacks,Black women have a tendency to violently shake their heads in heated conversations.
Boche,Germans,"The French called the Germans this in WWII. ""Boche"" is short for ""alcaboche"" or cabbage-head."
Bodinki,Puerto Ricans,Slur used by Portuguse in Hawaii
Boffer/Boofer,Blacks,The Hawaiians or Polynesians call Blacks this name. Same as nigger in the United States.
Bog-Jumper,Irish,Many bogs in Ireland
Bog-trotter,Irish,Abundance of bogs in Ireland
Bogan,Australians,"New Zealand/Australian white trash or rednecks.
 
 Appearance: Typically clad in black rib jersey (Hallensteins, $49.95), black jeans, and a shredded black heavy-metal t-shirt. Clothing with beer logos is an acceptable alternative to above - Waikato is favourite. Black oil stains on skin optional. A curious feature is the haircut, which although short(ish) at the front and sides is long and straggly at the back. The cover thus provided enables one to distinguish the bogan from the redndeck.
 
 Habitat: The beach in summer, but only those with free road access. Mt Maunganui provides a typical bogan haunt. Despite the heat, bogans NEVER expose their torsos, even when swimming. Science has yet to explain why they refuse to shed their protective coating of black fabric. Bogans may be found at all times on back roads, at rugby matches, and in public bars. If you can't see a bogan straight away, they may be shy - try watching the older Holden Kingswoods for activity. 
 
 Feeding: Copious quantities of beer provide all the nourishment a Bogan requires. 
 
 Reproduction: Bogans appear to be exclusively male. Females are actively repelled by cries of ""getchagearsoff"" or ""showusyagrowler"" if they dare venture too close. Like geeks, rugbyheads and best friends of popular girls, the Bogan is the non-viable offspring of apparently fertile humans.
 
 Seldom seen in numbers fewer than three.
 
 Source: NZ.com & UD"
Bohunk,Hungarians,"May be a contraction of 'Bohemian/Hungarian', and might refer to Hungarians, Czechs and Ukrainians (As well as Russians). Possibly of Slavic origin. See: Honky."
Bolillo,Whites,Mexicans use it to refer to white people: bolillo=white bread bun
Bolita,Bolivian,"Argentines refer to the poorer Bolivian immigrants who live in Argentina as ""bolitas."" It means ""small balls"" in Spanish."
Bologna,Italians,"Reference to Bologna, Italy"
Bomb,Blacks,Bombs in cartoons are typically black
Bomb Watcher,Japanese,Refers to atom bombs the US dropped on Hiroshima and Nagasaki in WWII.
Bomb-Builder,Arabs,Many terrorists nowadays are Arabs.
Bones,Jews,"Reference to the holocaust when Jews were often worked so hard, they were turned into a mere pile of bones."
Bonky,Blacks,Name for blacks who act or talk white
Boogalee,Cajuns,"May be a corruption of the French slang for ""feces""."
Boogat,Blacks,"Comes from the similar idea of calling a black person a ""Spook."" C. 1940s"
Boogie,Blacks,"Referring to ""Boogie Woogie"" form of jazz? Could come from W. African ""Buuker"" or ""Buckra"", meaning ""Devil"", ""Boogie man"" or ""White Man"". Turned around and used against Blacks by Whites."
Boogie Man,Whites,"Enslaved African-Americans told tales to their children of a Boogie Man who would abduct you, kill you or otherwise cause harm to you if you were to leave the plantation. The Boogie man of which they spoke was in essence the white man. (Possible connection tot the ghost like appearance of the KKK)"
Boojie,Indians,Pronounced 'boo-jee'; refers to all the 7-11 workers of the world.
Boomer,Australian Aboriginals,They use boomerangs
Boon,Blacks,"Probably a derivation of ""Baboon"" or the black ""Boon Bug"" beetle."
Booner,Australian,Canberra word for bogan. Sometimes shortened too boon.
Boong,Australian Aboriginals,"Origin: ""Boonga"" is a native word from the Sydney area pre-1788 meaning anus."
Boori,Australian Aboriginals,"Same As Abo, Coon, Boong, Moorindachi, Pikinini."
Bootlip,Blacks,"During the Industrial boom of the auto industry and OSHA'a requirement of safety precautions, workers were required to wear steel-toed boots. Common steel-toed boots are black in color and have large, bulky toes - referencing the size of black's lips."
Border Bandit,Mexicans,"A Mexican who has crossed the border illegally. Also a ""BB"""
Border Bunny,Hispanics,Hopping the border to get into America.
Border Nigger,Hispanics,See Border Bunny.
Border-Hopper,Hispanics,Same as Border Bunny. Border-Jumper too.
Bosants,Bosnians,"A non derogatory name of themselves bosanats turned derogatory in Slovenia, a word bos also means barefoot, many Bosnians are muslim, and walk barefoot around the house, mosque etc."
Bosch,Germans,French WW2 term. Name of a big german tool and machine producer?
Boskur,Bosnians,"a mix of Bosnian and chefur used derogatory in Slovenia, typically hard uneducated workers from Bosnia and Hercegovina"
Boss,Whites,"Commonly used by American minority groups (blacks, hispanics, asians) to refer to white people."
Boudreaux,Cajuns,Common name among Cajuns.
Bounty Bar,Blacks,"The Bounty Bar is a coconut filled chocolate bar, so it's brown on the outside but white on the inside. An insult to (for example) black police officers in England."
Bourbon,Blacks,Bourbon are brown coloured brown cream filled biscuits. Possibly a variant of eggplant. Bourbon is also a dark alchoholic drink
Bow Bender,Native Americans,Indians shot bows.
Boxcutter,Arabs,September 11th
Boxhead,Germans,"Germans typically have, or are thought to have, rather square heads."
Boy,Blacks,Originated during slavery. Used to belittle blacks.
Bozak,Blacks,"Pronounced (bow-zack) southern term for a big black man. ""thats one black bozak"""
Bozgor,Hungarians,"Term used in Eastern Europe for Hungarian-Ethnics living in different countries after WWI. It means ""man without country"" or just imitates Hungarian talking."
Bracero,Mexicans,Spanish term for a Mexican migrant worker
Brady,Whites,"From TV show ""The Brady Bunch,"" especially used to make the point that whites are acting ""uncool."" A variation is to refer to someone by the names of one of the Brady Bunch children,i.e., Peter, Marsha, etc."
Branch Manager,Blacks,Monkeys climb trees.
Brass Ankle,Mixed Races,Refers to a person of black and white heritage who passes for a white person. Unsure of origins.
Brazuca,Brazilians,Does not necessarily bear a negative connotation. It is used by Brazilians most often when depicting Brazilian athletes playing abroad.
Brew,Jews,"Short for ""Hebrew""."
Briar,Whites,Term probably comes from the briar bushes found in Appalachian states. Variant: briar-hopper. Applied locally to redneck Kentucky native or other southerner from Appalachia who resettled in Southwestern Ohio during or after WWII in search of factory jobs.
Brillo Pad,Blacks,Hair reminiscent of a Brillo Pad.
Brit,British,"Short for British. Used as in ""Brits Out!"": graffiti from Ireland."
Bro,Blacks,"Contraction of brother, see: Brother."
Bro-ho,Whites,"A white woman who dates or has sex with black men. Bro = black man. Ho = short for ""whore."""
Bronx Indian,Jews,"Probably not derogatory, possibly self-referential. Most likely from sometime between the turn of the century and the early sixties. I have only found one reference to it, but I believe it is most likely from the fact that in the first half of the twentieth century, for a period almost fifty percent of the Bronx was Jewish, thus they were seemingly like the native population of the Bronx."
Brother,Blacks,Used by blacks in an effort to help unify their race. Also used by non-black races to poke fun at or try to identify with the black race.
Brown Pants/Shirts,Italians,From the color of their uniforms in WW II. Said by American GIs to hide when they defecate themselves on the battlefield.
Brown Tractor,Mexicans,They sometimes do work tractors might normally be used for.
Brown Trumpet,Blacks,Represents Black American jazz musicians.
Brownie,Blacks,"Skin color, like the favorite treat."
Bruce Lee,Asians,Self explanatory
Bruised Banana,Asians,"A ""banana"" who acts black."
Bubb Rubb,Blacks,Wooooo Wooooo.
Bubba,Blacks,"When referring to prison, the big guy who takes advantage of all the new prisoners is derogatorily called Bubba."
Bubba,Whites,Common southern name Reference to any big dumb white guy.
Bubble,Greeks,"""Bubble & Squeak"" is Cockney slang for Greek."
Bubbles,Blacks,Big Black man from the film Lilo and Stitch
Buck,Native Americans,"The male equivalent of ""squaw"""
Buck/Buck Nigger,Blacks,This word has been used since the 17th century to refer to a male Negro - no matter whether slave or not.
Bucket,Whites,"""You ain't pale, you bucket"""
Buckethead,Koreans,"Of all Asian groups, Koreans are said to have the biggest heads."
Buckra,Whites,Gullah language word meaning White Trash.
Buckwheat,Blacks,"Refers to Buckwheat, a Black character on ""The Little Rascals."""
Buddhahead,Asians,A lot of Asians are Buddhists.
Buddhahead,Hawaiians,"Hawaiian-born Japanese Americans. Originally from ""buta-head"" meaning pig-headed since Hawaiians were stubborn compared to their mainland counterparts. See: ""kotonk"""
Buddy Blaster,Americans,Refers to US troops' inability to distinguish between friend and foe on the battlefield.
Buffalo Jockey,Native Americans,Self-explanatory.
Buffalo Soldier,Blacks,"When the U.S. government was clearing the West of Native Americans, they sent many black units to hunt them down. The Indians thought they looked like buffalo."
Buffy,Whites,From Buffy the Vampire Slayer. A reference to teenage white girls who watch and identify with the show's main character.
Bug-Eater,Asians,Many Asians eat bugs such as Locusts and Grasshoppers.
Bugre,Brazilians,Means Indian in Portuguese
Buk-Buk,Filipinos,"Insult originates in Hawaii. A slur on how their language sounds to non-Filipinos. Sounds like ""book-book."""
Bukakke Warrior,Japanese,Refers to perverse Japanese sex fetish that involves a woman being the reciepent of several males ejaculation on her face.
Bukkakese,Asians,Reference to the popular Bukkake fetish. (Bukkake + Japanese)
Buleh,Whites,Means Albino in Indonesian
Bulgie,Bulgarians,Self-explanatory
Bumblebee,Mixed Races,Black/Oriental couple or mixed child.
Bumi,Malaysians,"short for the malaysian term ""bumiputra"" - son of the soil. Used by non-native Malays"
Bump,Australian Aboriginals,"Many vehicles in Australia have 'roo bars mounted on the front (to protect the vehicle from collisions with kangaroos). ""Bump"" is for the sound Aboriganals make when bouncing off the 'roo bar."
Bumper Lips,Blacks,Self-explanatory.
Bun,Jews,"As in ""bun in the oven."""
Bun,Blacks,Big Ugly Nigger.
Bunker,Whites,"For the bigoted ""All In The Family"" character Archie Bunker."
Bunny,Mormons,Propensity to spawn many children
Buppie,Blacks,"A (young) black upwardly professional person. Like yuppie, but refers to blacks."
Burger,Jews,"Many of their names end it ""Burg"""
Burglar,Bulgarians,"The word sounds like ""Bulgar"""
Burnt Cracker,Blacks,Used as a response to Blacks who call Whites crackers.
Burnt Match,Blacks,Self-explanatory.
Burnt Pizza,Italians,Slur towards dark skinned Italians
Burnt Rice,Asians,Darker-skinned Asians.
Burnt Toast,Blacks,Skin color can resemble that of a burnt piece of bread.
Burr Head,Blacks,Hair Texture.
Burrito,Hispanics,"Comes from the old adage you are what you eat. Also burrito-head, burrito-brain, etc."
Bush Bandit,Native American,They hide is bushes
Bush-Boogie,Blacks,Derived from their jungle origins.
Bushmen,Americans,For electing the bush dynasty.
Bushnigger,Native Americans,Self-explanatory.
Buster,Bulgarians,From the cartoon Arthur
Butter,Blacks,Alternative to Nigger.
Butter Cookie,Danish,"Reference to Kjeldsen's Butter Cookies, a fairly famous export from Denmark."
Butterfingers,French,"Started during WWII when the French were occupied by the Germans and were forced to ""drop"" all their weapons."
Butterhead,Japanese,"Used by U.S. Marines in the Pacific Theater of WWII, and some survivors of it to this day. Refers to yellow skin tone of Japanese soldiers. Expression appears in some U.S. movies made during the war."
Buttonhead,Indians,Due to the red dot on many Hindu's foreheads.
B�d�s Ol�h,Romanians,"The slur means ""stinky Romanian"" and it originates in Transylvania where Romanians and Hungarians live together. Hungarians used to call Romanians this way, because most Romanians were primitive peasents lacking basic hygiene."
B�g,Swedes,Finnish people regard Swedish men to be woman-like homosexuals - thus b�g which is Swedish for a homosexual
C-15,Blacks,"From some mythical form where the circle you filled out for ""race = black"" was column c, number 15."
Cabbage,Whites,Small town farm trash that wore spotted welder beanie caps and carried concealed knives to school.
Cabbie,Arabs,"A large portion of cab drivers seem to be foreigners, mostly of Arab or Indo descent."
Caber Tosser,Scottish,Scottish sport.
Cabezita Negra,Hispanics,What whites in Argentina call mestizo people who are darker and poorer. It means Little Black Head; Most of the Argentinians from european heritage either have blonde or light colored hair.
Caco,Puerto Ricans,Puerto Rican youths who dress and act 'gangsta' and drive tricked out import cars with loud sound systems blasting 'Reggaeton' (a type of music that is like hip-hop with heavy percussion sounds).
Caffre,Blacks,"Derogatory term used by South African whites during the apartheid era, now considered an offense and beeped out from the media (like an ordinary curse in USA)"
Cairo Coon,Arabs,Variant on sand nigger.
Calf,Mixed Races,White/Black mix. A child with a white mother and black father.
California Roll,Asian/White,"Much like the food, a mix of American and Asian. Also Asians, and thus half-Asians are much more prevalent on the west coast than on the East."
Calpurnia,Blacks,"Black women that are nannies. Comes from the character Calpurnia in the book ""To Kill a Mocking Bird."""
Calzone,Italians,Italian food
Camel Cowboy,Arabs,They ride camels like cowboys ride horses.
Camel Crunch,Arabs,"From the cereal ""Captin Crunch"" only the Arabian version"
Camel Jockey,Arabs,From camels being a major form of transportation in the Middle Eastern countries.
Camel Lips,Blacks,Self Explanatory
Camel-Fucker,Arabs,Refers to lonely Arab shepherds.
Camel-Jacker,Arabs,"A take off on Camel Jockey and Camel-Humper. This refers to the act of ""stimulating"" a camel by hand."
Campers,Jews,WWII reference and the propensity of Jewish parents to send their children to summer camps.
